Date,Casos de dengue
2022-09-09,4785.8223
2019-11-23,6111.4946
2019-11-24,6772.1465
2019-11-25,45541.188
2019-11-26,20426.258
2019-11-27,37175.492
2019-11-28,30286.734
2019-11-29,11744.597
2019-11-30,27042.22
2019-12-01,83582.6
2019-12-02,37736.75
2019-12-03,65924.78
2019-12-04,53015.625
2019-12-05,88098.13
2019-12-06,71989.94
2019-12-07,63326.883
2019-12-08,52400.01
2019-12-09,61791.05
2019-12-10,63636.96
2019-12-11,49836.004
2019-12-12,93410.62
2019-12-13,89722.27
2019-12-14,40681.86
2019-12-15,55119.887
2019-12-16,51930.13
2019-12-17,87342.734
2019-12-18,76134.66
2019-12-19,37875.445
2019-12-20,38538.203
2019-12-21,105526.586
2019-12-22,90713.25
2019-12-23,100525.64
2019-12-24,102229.32
2019-12-25,66369.734
2019-12-26,38004.51
2019-12-27,87397.53
2019-12-28,69358.44
2019-12-29,89105.875
2019-12-30,64206.99
2019-12-31,75439.375
2020-01-01,106666.92
2020-01-02,84526.04
2020-01-03,95661.21
2020-01-04,54624.96
2020-01-05,54590.133
2020-01-06,44594.56
2020-01-07,77675.64
2020-01-08,65595.77
2020-01-09,86890.52
2020-01-10,40543.023
2020-01-11,84470.67
2020-01-12,85229.25
2020-01-13,102816.305
2020-01-14,101851.83
2020-01-15,90895.11
2020-01-16,76750.79
2020-01-17,79529.36
2020-01-18,78049.88
2020-01-19,75028.81
2020-01-20,86689.72
2020-01-21,62553.023
2020-01-22,97975.03
2020-01-23,81007.41
2020-01-24,86363.81
2020-01-25,61262.695
2020-01-26,64080.36
2020-01-27,78373.97
2020-01-28,83262.07
2020-01-29,45685.21
2020-01-30,95944.46
2020-01-31,65312.766
2020-02-01,70260.01
2020-02-02,43885.418
2020-02-03,73940.234
2020-02-04,51896.9
2020-02-05,79112.414
2020-02-06,42669.477
2020-02-07,34871.066
2020-02-08,45136.703
2020-02-09,98943.62
2020-02-10,43080.95
2020-02-11,105058.195
2020-02-12,55165.215
2020-02-13,85534.92
2020-02-14,74436.414
2020-02-15,88925.55
2020-02-16,76245.805
2020-02-17,78189.08
2020-02-18,58019.27
2020-02-19,75159.49
2020-02-20,92791.086
2020-02-21,96222.64
2020-02-22,32393.438
2020-02-23,51555.92
2020-02-24,39787.137
2020-02-25,79074.69
2020-02-26,79161.016
2020-02-27,37457.258
2020-02-28,68387.84
2020-02-29,83707.73
2020-03-01,107778.35
2020-03-02,57401.19
2020-03-03,99433.336
2020-03-04,42908.57
2020-03-05,36764.016
2020-03-06,103706.86
2020-03-07,92435.36
2020-03-08,43047.51
2020-03-09,100049.82
2020-03-10,65561.41
2020-03-11,79180.586
2020-03-12,84210.805
2020-03-13,36721.863
2020-03-14,72282.375
2020-03-15,101260.234
2020-03-16,76719.61
2020-03-17,67063.945
2020-03-18,86470.64
2020-03-19,50034.0
2020-03-20,73361.61
2020-03-21,59093.414
2020-03-22,66721.5
2020-03-23,95303.414
2020-03-24,63434.1
2020-03-25,39996.156
2020-03-26,39311.812
2020-03-27,55539.418
2020-03-28,61497.84
2020-03-29,66962.88
2020-03-30,23198.24
2020-03-31,53722.324
2020-04-01,19435.635
2020-04-02,33975.617
2020-04-03,15588.84
2020-04-04,26467.049
2020-04-05,8068.2197
2020-04-06,32189.691
2020-04-07,37014.246
2020-04-08,39202.586
2020-04-09,25867.242
2020-04-10,28038.734
2020-04-11,10413.729
2020-04-12,30627.805
2020-04-13,5900.4976
2020-04-14,15955.5
2020-04-15,34843.926
2020-04-16,37740.082
2020-04-17,3216.6548
2020-04-18,35214.93
2020-04-19,5807.8203
2020-04-20,23945.021
2020-04-21,6592.5933
2020-04-22,38775.082
2020-04-23,38434.34
2020-04-24,25244.02
2020-04-25,27590.373
2020-04-26,28066.568
2020-04-27,6215.6436
2020-04-28,23540.762
2020-04-29,31595.75
2020-04-30,9813.95
2020-05-01,14417.392
2020-05-02,12207.627
2020-05-03,23089.816
2020-05-04,37670.4
2020-05-05,37798.285
2020-05-06,12612.312
2020-05-07,2814.5977
2020-05-08,6480.1553
2020-05-09,9786.201
2020-05-10,10356.277
2020-05-11,27299.2
2020-05-12,27928.207
2020-05-13,6141.2397
2020-05-14,17580.252
2020-05-15,38184.863
2020-05-16,40143.902
2020-05-17,20353.42
2020-05-18,30191.617
2020-05-19,25324.959
2020-05-20,29708.215
2020-05-21,18867.035
2020-05-22,14245.2
2020-05-23,38289.1
2020-05-24,39446.17
2020-05-25,23406.896
2020-05-26,9721.664
2020-05-27,13826.907
2020-05-28,12585.572
2020-05-29,29080.912
2020-05-30,18356.84
2020-05-31,38563.434
2020-06-01,3503.5513
2020-06-02,1433.7463
2020-06-03,3910.7659
2020-06-04,3144.7998
2020-06-05,4710.2827
2020-06-06,1644.0671
2020-06-07,3517.3782
2020-06-08,819.0525
2020-06-09,2643.9165
2020-06-10,1732.6722
2020-06-11,342.5902
2020-06-12,4643.874
2020-06-13,5186.2847
2020-06-14,4028.2397
2020-06-15,2916.4155
2020-06-16,213.9351
2020-06-17,4717.393
2020-06-18,4451.3433
2020-06-19,189.1207
2020-06-20,69.185234
2020-06-21,507.92084
2020-06-22,407.3297
2020-06-23,241.34642
2020-06-24,4488.2524
2020-06-25,385.58942
2020-06-26,669.1256
2020-06-27,2766.6423
2020-06-28,382.85474
2020-06-29,376.24023
2020-06-30,3775.8254
2020-07-01,4491.7217
2020-07-02,1197.9924
2020-07-03,3466.5134
2020-07-04,20.406372
2020-07-05,395.76904
2020-07-06,2922.337
2020-07-07,439.47247
2020-07-08,3553.9333
2020-07-09,1495.4249
2020-07-10,2548.0244
2020-07-11,4021.2617
2020-07-12,196.35228
2020-07-13,3384.529
2020-07-14,316.5119
2020-07-15,1476.399
2020-07-16,1714.1719
2020-07-17,151.6668
2020-07-18,3455.0977
2020-07-19,3069.3662
2020-07-20,268.0426
2020-07-21,5976.822
2020-07-22,2824.4475
2020-07-23,5073.9834
2020-07-24,358.16455
2020-07-25,3294.1128
2020-07-26,4248.949
2020-07-27,4828.538
2020-07-28,1132.802
2020-07-29,1747.5325
2020-07-30,1217.8202
2020-07-31,977.5977
2020-08-01,937.3148
2020-08-02,5016.7793
2020-08-03,6300.119
2020-08-04,5796.838
2020-08-05,174.97575
2020-08-06,45.427708
2020-08-07,2789.1377
2020-08-08,2813.7188
2020-08-09,130.72768
2020-08-10,4173.85
2020-08-11,59.68631
2020-08-12,4457.2363
2020-08-13,1705.4156
2020-08-14,1198.2574
2020-08-15,5966.6465
2020-08-16,261.71753
2020-08-17,1827.1586
2020-08-18,546.8785
2020-08-19,2354.6262
2020-08-20,2598.1367
2020-08-21,1392.6931
2020-08-22,6167.2734
2020-08-23,6069.479
2020-08-24,2784.8462
2020-08-25,492.58594
2020-08-26,3243.7517
2020-08-27,3937.2686
2020-08-28,5154.043
2020-08-29,3469.469
2020-08-30,5125.2026
2020-08-31,964.7746
2020-09-01,912.879
2020-09-02,2601.8125
2020-09-03,5924.183
2020-09-04,4536.594
2020-09-05,425.46338
2020-09-06,1798.4567
2020-09-07,6046.831
2020-09-08,5323.8594
2020-09-09,1737.7601
2020-09-10,350.30383
2020-09-11,488.09045
2020-09-12,511.16376
2020-09-13,1943.9062
2020-09-14,2123.9177
2020-09-15,189.94698
2020-09-16,1647.8306
2020-09-17,780.2156
2020-09-18,4000.5676
2020-09-19,955.0296
2020-09-20,5036.3247
2020-09-21,2623.5703
2020-09-22,329.60876
2020-09-23,4204.6914
2020-09-24,287.0728
2020-09-25,2982.021
2020-09-26,1417.0525
2020-09-27,3673.834
2020-09-28,7218.657
2020-09-29,3921.744
2020-09-30,4922.7783
2020-10-01,30701.836
2020-10-02,29951.861
2020-10-03,32043.613
2020-10-04,6739.8887
2020-10-05,30209.299
2020-10-06,18582.184
2020-10-07,18601.35
2020-10-08,37109.54
2020-10-09,35969.074
2020-10-10,14362.461
2020-10-11,2400.4932
2020-10-12,7299.555
2020-10-13,18293.1
2020-10-14,12979.6
2020-10-15,37400.57
2020-10-16,7896.483
2020-10-17,37521.64
2020-10-18,6489.001
2020-10-19,3584.4453
2020-10-20,22771.006
2020-10-21,8386.666
2020-10-22,12596.378
2020-10-23,17445.195
2020-10-24,20364.76
2020-10-25,19490.787
2020-10-26,6887.449
2020-10-27,21858.35
2020-10-28,3711.6038
2020-10-29,27650.41
2020-10-30,23843.957
2020-10-31,16698.648
2020-11-01,33242.4
2020-11-02,7468.8174
2020-11-03,30276.098
2020-11-04,21516.025
2020-11-05,17284.484
2020-11-06,27653.547
2020-11-07,28978.328
2020-11-08,27878.557
2020-11-09,23616.732
2020-11-10,3052.9275
2020-11-11,37960.04
2020-11-12,27331.908
2020-11-13,25080.3
2020-11-14,23226.64
2020-11-15,14171.919
2020-11-16,26931.562
2020-11-17,18920.777
2020-11-18,39401.535
2020-11-19,18952.695
2020-11-20,17612.928
2020-11-21,7258.017
2020-11-22,15774.741
2020-11-23,17647.654
2020-11-24,12227.013
2020-11-25,39232.297
2020-11-26,31704.33
2020-11-27,13603.484
2020-11-28,35112.43
2020-11-29,33266.227
2020-11-30,61138.977
2020-12-01,95523.586
2020-12-02,78703.9
2020-12-03,95314.07
2020-12-04,59762.098
2020-12-05,57200.07
2020-12-06,96940.27
2020-12-07,59383.258
2020-12-08,99709.625
2020-12-09,104746.875
2020-12-10,38935.734
2020-12-11,57485.4
2020-12-12,85392.42
2020-12-13,107466.164
2020-12-14,39930.07
2020-12-15,64711.77
2020-12-16,56753.11
2020-12-17,60542.707
2020-12-18,75080.63
2020-12-19,89742.07
2020-12-20,60337.523
2020-12-21,53201.227
2020-12-22,56012.85
2020-12-23,69080.1
2020-12-24,39300.67
2020-12-25,66147.69
2020-12-26,45507.836
2020-12-27,42254.434
2020-12-28,55120.105
2020-12-29,79723.59
2020-12-30,44487.402
2020-12-31,96740.25
2021-01-01,79927.79
2021-01-02,58349.727
2021-01-03,70925.86
2021-01-04,75973.5
2021-01-05,107979.07
2021-01-06,101395.45
2021-01-07,97815.54
2021-01-08,88500.12
2021-01-09,110431.125
2021-01-10,76989.07
2021-01-11,68793.7
2021-01-12,38566.17
2021-01-13,101618.875
2021-01-14,77520.97
2021-01-15,63054.11
2021-01-16,74251.94
2021-01-17,96558.445
2021-01-18,82318.92
2021-01-19,65653.98
2021-01-20,57255.562
2021-01-21,93293.055
2021-01-22,103657.94
2021-01-23,87857.99
2021-01-24,73079.06
2021-01-25,104890.61
2021-01-26,45847.055
2021-01-27,68144.9
2021-01-28,45088.273
2021-01-29,45374.676
2021-01-30,70396.55
2021-01-31,69790.266
2021-02-01,86457.086
2021-02-02,45178.695
2021-02-03,42570.65
2021-02-04,108593.02
2021-02-05,47130.89
2021-02-06,49314.566
2021-02-07,76292.2
2021-02-08,58352.496
2021-02-09,76791.61
2021-02-10,102996.91
2021-02-11,45362.855
2021-02-12,88522.54
2021-02-13,70997.65
2021-02-14,46491.08
2021-02-15,64470.934
2021-02-16,56279.05
2021-02-17,91702.64
2021-02-18,57089.64
2021-02-19,41705.023
2021-02-20,63630.316
2021-02-21,43419.8
2021-02-22,80101.29
2021-02-23,69662.23
2021-02-24,54474.008
2021-02-25,47587.477
2021-02-26,82724.06
2021-02-27,99353.45
2021-02-28,41740.473
2021-03-01,44422.27
2021-03-02,39873.945
2021-03-03,46265.92
2021-03-04,65663.67
2021-03-05,90858.23
2021-03-06,90453.484
2021-03-07,105884.445
2021-03-08,83307.4
2021-03-09,99775.55
2021-03-10,66128.74
2021-03-11,44072.598
2021-03-12,51331.168
2021-03-13,105595.78
2021-03-14,73965.42
2021-03-15,65529.188
2021-03-16,56510.44
2021-03-17,44344.32
2021-03-18,101053.09
2021-03-19,48016.395
2021-03-20,62251.562
2021-03-21,104048.12
2021-03-22,54305.773
2021-03-23,88928.71
