Date,Casos de dengue
2022-09-09,1327.8716
2019-11-23,3303.6536
2019-11-24,3667.3644
2019-11-25,21782.7828
2019-11-26,8372.36
2019-11-27,19268.552
2019-11-28,14271.3232
2019-11-29,1290.3784
2019-11-30,10117.6072
2019-12-01,161169.9456
2019-12-02,34902.294
2019-12-03,93885.0536
2019-12-04,87442.2308
2019-12-05,181283.3212
2019-12-06,86581.6172
2019-12-07,91963.748
2019-12-08,89703.56
2019-12-09,103237.0088
2019-12-10,137131.8788
2019-12-11,57571.48
2019-12-12,203466.1516
2019-12-13,161832.6764
2019-12-14,31265.8284
2019-12-15,92333.2016
2019-12-16,85545.7876
2019-12-17,149250.0676
2019-12-18,131846.2112
2019-12-19,31436.382
2019-12-20,30064.4392
2019-12-21,179782.2876
2019-12-22,151942.1268
2019-12-23,128642.192
2019-12-24,179098.192
2019-12-25,84865.6988
2019-12-26,27750.6908
2019-12-27,188012.2092
2019-12-28,126023.8592
2019-12-29,175844.6192
2019-12-30,101350.3248
2019-12-31,133928.9524
2020-01-01,169882.7464
2020-01-02,154073.8832
2020-01-03,192129.0152
2020-01-04,66408.8168
2020-01-05,50987.3476
2020-01-06,48152.2696
2020-01-07,100170.9984
2020-01-08,105675.288
2020-01-09,145684.9156
2020-01-10,27320.3468
2020-01-11,110775.3628
2020-01-12,140914.586
2020-01-13,229570.8652
2020-01-14,210936.9576
2020-01-15,178706.898
2020-01-16,105102.7108
2020-01-17,131061.4164
2020-01-18,128990.8264
2020-01-19,96358.1596
2020-01-20,155627.8116
2020-01-21,103036.8356
2020-01-22,122919.258
2020-01-23,115491.256
2020-01-24,150847.0976
2020-01-25,94761.738
2020-01-26,74357.0272
2020-01-27,123877.4808
2020-01-28,135308.678
2020-01-29,63174.9988
2020-01-30,155708.0988
2020-01-31,114105.534
2020-02-01,109818.758
2020-02-02,43827.992
2020-02-03,98670.4116
2020-02-04,60118.3304
2020-02-05,121119.4408
2020-02-06,50690.9648
2020-02-07,19241.368
2020-02-08,51677.608
2020-02-09,154485.5156
2020-02-10,34594.5564
2020-02-11,184167.5608
2020-02-12,85321.9616
2020-02-13,140675.2316
2020-02-14,130455.7896
2020-02-15,173303.0492
2020-02-16,111999.5888
2020-02-17,131147.642
2020-02-18,92394.2488
2020-02-19,141481.9284
2020-02-20,138330.7688
2020-02-21,145894.1088
2020-02-22,26535.2016
2020-02-23,78937.0228
2020-02-24,34291.4392
2020-02-25,211079.4928
2020-02-26,215060.2972
2020-02-27,28103.9348
2020-02-28,90000.7344
2020-02-29,144146.4476
2020-03-01,209791.3896
2020-03-02,94642.2752
2020-03-03,191025.518
2020-03-04,53949.578
2020-03-05,21432.0596
2020-03-06,185850.402
2020-03-07,198356.07
2020-03-08,34984.8668
2020-03-09,187653.688
2020-03-10,92694.4716
2020-03-11,167113.8384
2020-03-12,152892.8464
2020-03-13,26979.8752
2020-03-14,148448.3676
2020-03-15,142001.3644
2020-03-16,105844.9804
2020-03-17,125833.0296
2020-03-18,130421.9612
2020-03-19,51834.8808
2020-03-20,112978.5128
2020-03-21,85336.2728
2020-03-22,105302.8584
2020-03-23,135955.932
2020-03-24,80953.0112
2020-03-25,37623.3196
2020-03-26,33606.3716
2020-03-27,79031.004
2020-03-28,88738.686
2020-03-29,115104.7436
2020-03-30,21005.0768
2020-03-31,100599.788
2020-04-01,10035.3436
2020-04-02,21162.92
2020-04-03,8272.8992
2020-04-04,16117.4352
2020-04-05,3556.0548
2020-04-06,18366.0404
2020-04-07,23341.0156
2020-04-08,21973.576
2020-04-09,16516.8344
2020-04-10,17752.6836
2020-04-11,6002.8184
2020-04-12,20287.5652
2020-04-13,3344.6
2020-04-14,8973.7008
2020-04-15,21170.3392
2020-04-16,22174.7792
2020-04-17,1497.614
2020-04-18,20847.6404
2020-04-19,2629.7992
2020-04-20,13833.8396
2020-04-21,3572.9168
2020-04-22,21920.5424
2020-04-23,22198.6572
2020-04-24,16376.0012
2020-04-25,16512.1792
2020-04-26,16881.898
2020-04-27,3606.6292
2020-04-28,13981.3824
2020-04-29,18740.126
2020-04-30,5815.8752
2020-05-01,7888.4892
2020-05-02,6093.728
2020-05-03,13108.6164
2020-05-04,20504.4048
2020-05-05,20284.4956
2020-05-06,7378.7768
2020-05-07,1365.7788
2020-05-08,3787.806
2020-05-09,6580.2292
2020-05-10,6767.3968
2020-05-11,16826.232
2020-05-12,16957.48
2020-05-13,3271.594
2020-05-14,10719.08
2020-05-15,21245.4428
2020-05-16,25315.4368
2020-05-17,12531.2828
2020-05-18,18695.8956
2020-05-19,17047.2572
2020-05-20,17877.0004
2020-05-21,11626.2692
2020-05-22,7648.74
2020-05-23,22634.1244
2020-05-24,21469.1628
2020-05-25,16566.604
2020-05-26,6004.4132
2020-05-27,8147.7232
2020-05-28,8210.5488
2020-05-29,18740.4828
2020-05-30,10271.1664
2020-05-31,23515.7756
2020-06-01,752.808
2020-06-02,504.1308
2020-06-03,740.216
2020-06-04,657.6196
2020-06-05,850.3732
2020-06-06,574.3228
2020-06-07,779.0528
2020-06-08,566.3872
2020-06-09,965.5096
2020-06-10,566.3492
2020-06-11,176.1116
2020-06-12,895.7916
2020-06-13,1220.6712
2020-06-14,818.2952
2020-06-15,848.0632
2020-06-16,243.0968
2020-06-17,833.3156
2020-06-18,866.6684
2020-06-19,197.7648
2020-06-20,156.7612
2020-06-21,32.02
2020-06-22,74.462
2020-06-23,184.4096
2020-06-24,689.6656
2020-06-25,57.608
2020-06-26,289.2632
2020-06-27,791.5084
2020-06-28,85.1116
2020-06-29,86.8828
2020-06-30,670.2816
2020-07-01,918.3864
2020-07-02,486.796
2020-07-03,697.7948
2020-07-04,268.3352
2020-07-05,53.6508
2020-07-06,782.6556
2020-07-07,64.0032
2020-07-08,685.8052
2020-07-09,602.0316
2020-07-10,685.8704
2020-07-11,712.1
2020-07-12,196.2884
2020-07-13,807.8164
2020-07-14,167.3316
2020-07-15,518.9724
2020-07-16,562.1792
2020-07-17,159.394
2020-07-18,824.7576
2020-07-19,746.7988
2020-07-20,85.7984
2020-07-21,1260.8288
2020-07-22,768.134
2020-07-23,902.9228
2020-07-24,55.5032
2020-07-25,770.0984
2020-07-26,871.9004
2020-07-27,1146.1148
